Output, Value
abandonmentDate,12/31/2026
adValoremTax,187360.46
applyNormalization,None
asOfDate,1/1/2022
beforeIncomeTaxCashFlow,1566301.972
discountDate,12/2/2021
dripCondensateBoeConversion,1
dripCondensateRisk,100
dryGasBoeConversion,6
firstDiscountCashFlow,1051648.007
firstDiscountRoi,1420.659203
firstDiscountNetIncome,3551648.007
firstDiscountPayout,23-Jul
firstDiscountPayoutDuration,20
firstDiscountRoiUndiscountedCapex,1420.659203
firstDiscountedCapex,2500
forecastName,Weld County Single
gasRevenue,1229586.293
gasProductionAsOfDate,0
gasRisk,100
gasTcRisk,None
grossGasSalesVolume,485011.9181
grossGasWellHeadVolume,485011.9181
grossNglSalesVolume,0
grossOilSalesVolume,119440.6885
grossOilWellHeadVolume,119440.6885
grossWaterWellHeadVolume,0
irr,54422.02607
netGasSalesVolume,363758.9386
netNglSalesVolume,0
netOilSalesVolume,89580.51636
netProfit,0
netIncome,4066301.972
nglRevenue,0
nglBoeConversion,1
nglRisk,100
oilRevenue,5015762.375
oilBoeConversion,1
oilProductionAsOfDate,0
oilRisk,100
oilTcRisk,None
payoutDuration,17
secondDiscountCashFlow,849899.4212
secondDiscountRoi,1339.959768
secondDiscountNetIncome,3349899.421
secondDiscountPayout,23-Aug
secondDiscountPayoutDuration,21
secondDiscountRoiUndiscountedCapex,1339.959768
secondDiscountedCapex,2500
totalCapex,2500
totalExpense,1679418.803
totalFixedExpense,0
totalIntangibleCapex,0
totalProductionTax,499627.8934
totalRevenue,6245348.668
totalSeveranceTax,312267.4334
totalTangibleCapex,2500
totalVariableExpense,1679418.803
totalGrossCapex,2500
undiscountedPayout,23-Apr
undiscountedRoi,1626.520789
waterProductionAsOfDate,0
waterRisk,100
waterTcRisk,None
wellLife,5080
wetGasBoeConversion,6
